,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
60,,나 홀로 버그로 꿀빠는 플레이어, 청초/오둥둥,"액션, 판타지, 게임",다음 웹툰,"성공할 수 있다면, 버그든 무엇이든 OK! 초고도비만 영주의 현생 도전기.",0,8.2,1,0,http://t1.daumcdn.net/webtoon/op/9a62d32e0732fdf644655cb8ddd98a98d1e0accc,http://webtoon.daum.net//webtoon/view/favorite
61,,지금은 연애를 쉽니다, 유현숙,"순정, 연애, 썸",다음 웹툰,다가오는 이별을 맞이하는 여자의 홀로서기 성장기,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/bbb388c056ca4aeb4cd6bc669a811507219feb3a,http://webtoon.daum.net//webtoon/view/favorite
62,,백의사자, 체사,"판타지, 저승, 귀신",다음 웹툰,"세상으로부터 잊혀진 소년에게 붉은 사자가 손을 내밀었을 때, 모든 것이 시작되었다.",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/55f8b28ba40de6ba4bfd3534d8751f10a0414869,http://webtoon.daum.net//webtoon/view/favorite
63,,뱀파이어 신드롬, 이충호,"액션, 판타지, 뱀파이어",다음 웹툰,"뱀파이어의 피 묻은 손을 잡던 그 순간, 우리들의 복수가 시작됐다.",0,9.2,1,0,http://t1.daumcdn.net/webtoon/op/b93712dfdaeefa2363deb56e1491e464cc09e8b2,http://webtoon.daum.net//webtoon/view/favorite
64,,블랙 베히모스, 케이지콘,"판타지, 액션, 전투",다음 웹툰,탈리스만이 되기 위한 시험에 도전하는 주인공의 힘겨운 전투,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/71b9d2fc3b2481111ba98385e9afb589b02f9447,http://webtoon.daum.net//webtoon/view/favorite
65,,뱀파이어님의 대리식사, 멜리/웬즈데이,"순정, 판타지, 뱀파이어",다음 웹툰,대학생 시영이와 외로운 뱀파이어의 심쿵 먹방 동거생활!,0,9.5,1,0,http://t1.daumcdn.net/webtoon/op/cdb2f87c08a1055379daba1bbd0b261c649c1c88,http://webtoon.daum.net//webtoon/view/favorite
66,,쌍갑포차, 배혜수,"드라마, 판타지, 음식",다음 웹툰,"<2017 대한민국 만화대상> 우수상 수상. 늦은 밤, 낯선 곳에 나타난 의문의 포장마차. 그 곳에서 일어나는 이야기들",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/211959e24bc40489572231df0214d41a0912d679,http://webtoon.daum.net//webtoon/view/favorite
67,,이상징후, 잇선,"드라마, 판타지, 능력",다음 웹툰,인생이 지옥 같다면 이상 현상이 벌어진다. 다음은 당신 차례일지도,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/e5ea4fbd9a55a927bbd71e33947c8685068f4f08,http://webtoon.daum.net//webtoon/view/favorite
68,,남의 사랑 이야기, 사란,"드라마, 순정, 사랑",다음 웹툰,"마냥 달지만은 않은 남들의 이야기를 스쳐가며, 남보다는 나를 위하게 되는 날까지.",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/83951ede9a920265f76e1dccd716e5d460b682bc,http://webtoon.daum.net//webtoon/view/favorite
69,,멀리서 보면 푸른 봄, 지늉,"드라마, 순정, 대학생",다음 웹툰,왜 사람들은 해피엔딩이 아닌 걸 보고 현실적이라고 말할까? 고단한 청춘들의 하드보일드 드라마,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/0707132180d29fbf4a2a59762bc6159b134eafee,http://webtoon.daum.net//webtoon/view/favorite
